Leaf_Mn_stage2_g_kg,Leaf_Fe_stage2_g_kg,Leaf_N_stage2_g_kg,Leaf_P_stage2_g_kg,Leaf_K_stage2_g_kg,Leaf_Mg_stage2_g_kg,Leaf_Ca_stage2_g_kg,Leaf_B_stage2_g_kg,Leaf_Cu_stage2_g_kg,Leaf_Zn_stage2_g_kg,Region,Cultivar,Yield class,ID,Yield class(Random Forest)
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,Massachusetts Quebec Washington Wisconsin,BG Ben\ Lear Bergman Crimson\ Queen DeMoranville Early\ Black Grygleski\ Hybrid\ 1 Howes HyRed LeMunyon McFarlin Mullica\ Queen Pilgrim Ruby\ Star Searles Stevens Sundance Wilcox,High\ yield Low\ yield,string,High\ yield Low\ yield
,,,,,,,,,,,,class,meta,meta
0.31417,0.05715,8.044,1.18036,5.04831,1.88976,7.82073,0.0265,0.00436,0.02332,Quebec,Stevens,High yield,2018_065,High yield
0.242914611,0.066572187,10.479,1.095718704,6.235210003,1.706484519,6.883113858,0.091540462,0.004247633,0.015014706,Quebec,Stevens,High yield,2016_049,High yield
0.127,0.065,8.7245,0.656,2.55,1.618,5.746,0.06,0.001,0.015,Quebec,Stevens,High yield,2015_125,High yield
0.6718,0.081,7.2,1.4,4.8,2.1,7.6,0.0284,0.0057,0.0217,Wisconsin,Searles,High yield,2013_W_009,High yield
0.22372758,0.06527016,10.51,1.135660831,3.087825564,1.599029757,7.016747443,0.060677408,0.003900424,0.012841908,Quebec,Stevens,High yield,2016_141,High yield
0.31678,0.06571,8.475,1.19301,5.61979,2.18386,7.56851,0.03268,0.00465,0.02304,Quebec,Stevens,High yield,2018_069,High yield
0.515,0.07,10.9,1.1,5.5,1.9,8.6,0.034,0.005,0.024,Quebec,Stevens,High yield,2014_B_025,High yield
0.219352473,0.048810558,10.131,1.300484042,7.205003297,1.930809604,7.707704951,0.128949986,0.004125523,0.024967355,Quebec,Stevens,High yield,2016_088,High yield
0.51,0.07,10.0,0.9,5.3,1.8,10.1,0.05,0.0,0.03,Quebec,Stevens,High yield,2016_C_031,High yield
0.2499,0.3094,10.6,2.4,9.4,2.6,10.5,0.0476,0.0029,0.0264,Wisconsin,Crimson Queen,High yield,AA_044,High yield
0.5785,0.2822,11.5,1.4,6.2,2.6,12.1,0.0758,0.0035,0.0268,Wisconsin,HyRed,High yield,AA_069,High yield
0.4603,0.4102,8.6,1.4,5.6,2.7,9.3,0.0478,0.0059,0.0371,Wisconsin,Stevens,High yield,AA_003,High yield
0.3992,0.1821,8.8,1.4,5.8,2.5,9.0,0.0518,0.0035,0.0279,Wisconsin,Stevens,High yield,AA_012,High yield
0.85721,0.10269,11.061,1.04475,6.34618,1.89659,9.20907,0.06303,0.00426,0.02697,Quebec,Stevens,High yield,2018_084,High yield
0.481183238,0.045714973,12.164,1.483406468,8.532489731,2.040413194,6.234257209,0.073448902,0.004622187,0.024662971,Quebec,Stevens,High yield,2016_086,High yield
0.792,0.0645,11.0,1.0,5.7,1.6,12.3,0.042,0.00467,0.0304,Quebec,Stevens,High yield,2001_028,High yield
0.26732,0.07192,9.864,1.21802,9.01828,2.12116,5.01001,0.03324,0.00449,0.01493,Quebec,Stevens,High yield,2018_067,High yield
0.234022526,0.047006864,8.3478,1.011491008,6.409753606,1.815733779,6.949000317,0.041582017,0.003466903,0.01696227,Quebec,Stevens,High yield,2017_050,High yield
0.1686,0.1012,9.8,1.2,5.1,2.7,12.0,0.0841,0.0033,0.0159,Wisconsin,Crimson Queen,High yield,AA_061,High yield
0.254395722,0.04969241,10.117,1.155015816,5.398556613,1.78953277,6.10048156,0.097913633,0.003878217,0.017485475,Quebec,Stevens,High yield,2016_127,High yield
0.251,0.08,11.2,1.0,5.4,1.9,8.2,0.026,0.005,0.019,Quebec,Stevens,High yield,2014_B_078,High yield
0.2824,0.1813,12.2,1.5,6.6,2.7,10.0,0.0419,0.0043,0.0373,Wisconsin,Stevens,High yield,AA_047,High yield
0.287,0.091,11.103,0.967,5.233,1.76,8.509,0.0682,0.004,0.023,Quebec,Stevens,High yield,2014_105,High yield
0.195290228,0.07385026,10.202,1.04359563,5.444321922,1.66429775,5.875067944,0.108391683,0.003906075,0.016780287,Quebec,Stevens,High yield,2016_129,High yield
0.39133,0.05187,10.29,1.10307,7.93652,2.4573,5.36557,0.04782,0.00464,0.01998,Quebec,Stevens,High yield,2018_086,High yield
0.219069572,0.06211514,8.6845,1.092634399,3.087980368,1.704923582,6.985732134,0.059730489,0.004141913,0.013299927,Quebec,Stevens,High yield,2016_139,High yield
0.258,0.063,11.0,1.0,5.0,2.0,8.0,0.021,0.004,0.019,Quebec,Wilcox,High yield,2015_B_065,High yield
0.244674438,0.050978174,9.2318,1.151098241,6.145037538,1.621024037,7.235892068,0.085248027,0.003108492,0.016798483,Quebec,Stevens,High yield,2016_115,High yield
0.162,0.111,9.1665,0.695,4.8,1.559,7.308,0.0656,0.002,0.014,Quebec,Stevens,High yield,2014_047,High yield
0.179,0.111,8.9075,0.772,5.214,1.695,7.39,0.0669,0.002,0.011,Quebec,Stevens,High yield,2014_071,High yield
1.05,0.0724,11.0,1.1,5.5,1.6,11.3,0.0374,0.00481,0.0328,Quebec,Stevens,High yield,2001_026,High yield
0.3391,0.1999,9.3,1.5,6.0,2.6,9.5,0.0456,0.0033,0.0319,Wisconsin,Stevens,High yield,AA_011,High yield
0.56,0.0591,11.0,1.2,5.5,1.9,8.0,0.0449,0.00571,0.0249,Quebec,Stevens,High yield,2001_014,High yield
0.56,0.0591,11.0,1.2,5.5,1.9,8.0,0.0449,0.00571,0.0249,Quebec,Stevens,High yield,2000_045,High yield
0.257,0.134,11.026,1.025,4.993,2.156,8.983,0.0524,0.003,0.022,Quebec,Stevens,High yield,2014_080,High yield
0.72922,0.05621,11.366,1.19201,5.84914,2.29014,9.09867,0.04378,0.00484,0.02961,Quebec,Stevens,High yield,2018_088,High yield
0.31035,0.05465,8.3246,0.98655,5.15264,1.70261,6.88635,0.02483,0.00414,0.01992,Quebec,Stevens,High yield,2018_047,High yield
0.2227,1.1854,11.7,1.1,5.3,2.4,7.8,0.0735,0.0069,0.0218,Wisconsin,LeMunyon,High yield,2017_W_026,High yield
0.3141,0.4041,9.4,2.0,6.9,2.2,11.9,0.0521,0.0015,0.0266,Wisconsin,HyRed,High yield,AA_006,High yield
